# age N_data S_data
20229.999542 7.639565 -4.754268
20219.999313 7.664247 -4.822128
20209.999084 7.679681 -4.771741
20200.000763 7.891045 -4.696885
20190.000534 7.786003 -4.846557
20180.000305 7.898717 -4.911071
20170.000076 7.815561 -4.851094
20159.999847 7.866787 -4.810795
20149.999619 7.869147 -4.615765
20139.999390 7.967411 -4.660283
20129.999161 7.971615 -4.752424
20120.000839 8.000579 -4.723190
20110.000610 8.073300 -4.733296
20100.000381 8.015034 -4.745656
20090.000153 7.917266 -4.718635
20079.999924 7.737606 -4.762111
20069.999695 7.894231 -4.603830
20059.999466 7.872160 -4.779128
20049.999237 7.922523 -4.755838
20040.000916 7.762912 -4.852614
20030.000687 7.708718 -4.743414
20020.000458 8.000895 -4.671462
20010.000229 7.945074 -4.609538
20000.000000 7.954563 -4.683146
19989.999771 7.995733 -4.760678
19979.999542 7.993042 -4.720790
19969.999313 7.912537 -4.804138
19959.999084 7.979279 -4.708848
19950.000763 8.018038 -4.586904
19940.000534 7.995473 -4.732004
19930.000305 8.061998 -4.643360
19920.000076 7.927939 -4.703321
19909.999847 8.035908 -4.643753
19899.999619 8.062674 -4.692613
19889.999390 7.921417 -4.596895
19880.001068 7.912078 -4.587336
19870.000839 7.966523 -4.558654
19860.000610 7.969685 -4.605066
19850.000381 8.043439 -4.485854
19840.000153 8.089651 -4.683915
19829.999924 8.102040 -4.662878
19819.999695 8.007762 -4.609015
19809.999466 8.089312 -4.517688
19799.999237 7.937972 -4.640011
19790.000916 8.013563 -4.489985
19780.000687 7.991427 -4.455008
19770.000458 8.055673 -4.458680
19760.000229 7.988722 -4.679137
19750.000000 8.072823 -4.727199
19739.999771 8.100781 -4.565723
19729.999542 7.849897 -4.497269
19719.999313 7.581931 -4.522876
19709.999084 8.066265 -4.639440
19700.000763 8.161054 -4.660050
19690.000534 8.063950 -4.670716
19680.000305 8.253777 -4.651204
19670.000076 8.164825 -4.845482
19659.999847 7.942356 -4.580541
19649.999619 8.007482 -4.637932
19639.999390 8.251160 -4.632091
19630.001068 7.946815 -4.807174
19620.000839 7.913158 -4.718812
19610.000610 8.052292 -4.693031
19600.000381 7.937020 -4.733933
19590.000153 7.826493 -4.743333
19579.999924 8.011044 -4.619486
19569.999695 8.017961 -4.546861
19559.999466 8.071966 -4.567601
19549.999237 8.013902 -4.689764
19540.000916 7.961532 -4.639786
19530.000687 8.132384 -4.607842
19520.000458 7.993050 -4.573597
19510.000229 8.133390 -4.619068
19500.000000 7.885900 -4.601472
19489.999771 8.094777 -4.632842
19479.999542 8.047233 -4.564808
19469.999313 7.951918 -4.537072
19459.999084 7.977370 -4.701603
19450.000763 7.897801 -4.731389
19440.000534 7.991518 -4.694865
19430.000305 7.899078 -4.612208
19420.000076 8.039622 -4.690286
19409.999847 8.114101 -4.560473
19399.999619 7.972642 -4.688120
19389.999390 7.989740 -4.775913
19380.001068 7.878084 -4.543505
19370.000839 7.881208 -4.518042
19360.000610 7.645528 -4.742651
19350.000381 7.944439 -4.559432
19340.000153 8.055861 -4.645375
19329.999924 8.085495 -4.774144
19319.999695 8.031961 -4.658327
19309.999466 7.768019 -4.670864
19299.999237 7.765936 -4.758320
19290.000916 8.086895 -4.676740
19280.000687 8.024246 -4.657467
19270.000458 8.106372 -4.661848
19260.000229 7.953269 -4.708067
19250.000000 7.947129 -4.652836
19239.999771 7.816475 -4.702648
19229.999542 7.810441 -4.681321
19219.999313 7.768792 -4.625102
19209.999084 7.689069 -4.523390
19200.000763 7.932854 -4.567228
19190.000534 7.832738 -4.680088
19180.000305 8.096322 -4.683791
19170.000076 8.089892 -4.764946
19159.999847 8.091836 -4.551618
19149.999619 8.090320 -4.560902
19139.999390 8.089475 -4.625305
19130.001068 8.063220 -4.766554
19120.000839 7.924298 -4.604800
