# age N_data S_data
19770.000458 7.127385 -5.175751
19760.000229 7.179003 -5.195633
19750.000000 6.939852 -5.230778
19739.999771 6.831188 -5.014256
19729.999542 7.079012 -5.193535
19719.999313 7.092423 -5.342407
19709.999084 7.231871 -5.215793
19700.000763 7.179112 -5.452541
19690.000534 7.172573 -5.288741
19680.000305 7.085573 -5.380255
19670.000076 7.075096 -5.409658
19659.999847 6.798378 -5.349620
19649.999619 7.027877 -5.352015
19639.999390 7.165362 -5.309413
19630.001068 7.200466 -5.143428
19620.000839 6.983493 -5.195515
19610.000610 7.003546 -5.257018
19600.000381 7.151240 -5.325044
19590.000153 7.270002 -5.291699
19579.999924 7.136179 -5.145765
19569.999695 6.954493 -5.396759
19559.999466 7.025786 -5.477957
19549.999237 6.946589 -5.293622
19540.000916 7.027430 -5.457068
19530.000687 7.164512 -5.210037
19520.000458 7.259491 -5.245875
19510.000229 6.945454 -5.395649
19500.000000 6.815133 -5.362949
19489.999771 6.994721 -5.320620
19479.999542 7.054739 -5.323238
19469.999313 7.246936 -5.067863
19459.999084 7.084892 -5.217886
19450.000763 6.915430 -5.288868
19440.000534 6.997447 -5.271961
19430.000305 7.067206 -5.258524
19420.000076 6.954097 -5.220089
19409.999847 6.977500 -5.250606
19399.999619 6.945522 -5.385294
19389.999390 7.116271 -5.164002
19380.001068 6.983565 -5.293704
19370.000839 6.951237 -5.281934
19360.000610 7.085068 -5.393122
19350.000381 7.098346 -5.231046
